[28-05-2015 22:22:33] Contest set to ILSVRC

[28-05-2015 22:22:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 22:22:40] Metadata loaded succesfully!

[28-05-2015 22:22:40] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 22:22:41] Objects filepaths indexer loaded succesfully!

[28-05-2015 22:22:46] TRAINING
------------------------------
[28-05-2015 22:22:52] iter: 1/3740 | epoch 0/200 | error: 0.995011091232300
[28-05-2015 22:22:59] iter: 2/3740 | epoch 0/200 | error: 0.994959771633148
[28-05-2015 22:23:04] iter: 3/3740 | epoch 0/200 | error: 0.994887828826904
[28-05-2015 22:23:10] iter: 4/3740 | epoch 0/200 | error: 0.994743704795837
[28-05-2015 22:23:16] iter: 5/3740 | epoch 0/200 | error: 0.994452714920044

[28-05-2015 22:23:16] VALIDATING
--------------------------------
[28-05-2015 22:27:51] validation error: 0.995178043842316 accuracy: 0.000000%
[28-05-2015 22:27:52] validation error: 0.995174109935760 accuracy: 0.000000%
[28-05-2015 22:27:54] validation error: 0.995175838470459 accuracy: 0.000000%
[28-05-2015 22:27:55] validation error: 0.995181024074554 accuracy: 0.000000%
[28-05-2015 22:27:57] validation error: 0.995186150074005 accuracy: 0.000000%
[28-05-2015 22:27:58] validation error: 0.995184123516083 accuracy: 0.000000%
[28-05-2015 22:27:59] validation error: 0.995181739330292 accuracy: 0.000000%
[28-05-2015 22:28:01] validation error: 0.995181143283844 accuracy: 0.000000%
[28-05-2015 22:28:02] validation error: 0.995184183120728 accuracy: 0.000000%
[28-05-2015 22:28:04] validation error: 0.995187163352966 accuracy: 0.000000%
[28-05-2015 22:28:05] validation error: 0.995186507701874 accuracy: 0.000000%
[28-05-2015 22:28:07] validation error: 0.995183229446411 accuracy: 0.000000%
[28-05-2015 22:28:08] validation error: 0.995180010795593 accuracy: 0.000000%
[28-05-2015 22:28:10] validation error: 0.995177865028381 accuracy: 0.000000%
[28-05-2015 22:28:11] validation error: 0.995175838470459 accuracy: 0.000000%
[28-05-2015 22:28:13] validation error: 0.995174109935760 accuracy: 0.000000%
[28-05-2015 22:28:14] validation error: 0.995174288749695 accuracy: 0.000000%
[28-05-2015 22:28:16] validation error: 0.995174407958984 accuracy: 0.000000%
[28-05-2015 22:28:17] validation error: 0.995174467563629 accuracy: 0.000000%
[28-05-2015 22:28:18] validation error: 0.995174229145050 accuracy: 0.000000%
[28-05-2015 22:28:20] validation error: 0.995174050331116 accuracy: 0.000000%
[28-05-2015 22:28:21] validation error: 0.995173275470734 accuracy: 0.000000%
[28-05-2015 22:28:23] validation error: 0.995171904563904 accuracy: 0.000000%
[28-05-2015 22:28:24] validation error: 0.995170474052429 accuracy: 0.000000%
[28-05-2015 22:28:25] validation error: 0.995167493820190 accuracy: 0.000000%
[28-05-2015 22:28:27] validation error: 0.995163857936859 accuracy: 0.000000%
[28-05-2015 22:28:28] validation error: 0.995160162448883 accuracy: 0.000000%
[28-05-2015 22:28:30] validation error: 0.995160162448883 accuracy: 0.000000%
[28-05-2015 22:28:31] validation error: 0.995160996913910 accuracy: 0.000000%
[28-05-2015 22:28:33] validation error: 0.995161831378937 accuracy: 0.000000%
[28-05-2015 22:28:34] validation error: 0.995160818099976 accuracy: 0.000000%
[28-05-2015 22:28:36] validation error: 0.995159745216370 accuracy: 0.000000%
[28-05-2015 22:28:37] validation error: 0.995158612728119 accuracy: 0.000000%
[28-05-2015 22:28:39] validation error: 0.995156288146973 accuracy: 0.000000%
[28-05-2015 22:28:40] validation error: 0.995154142379761 accuracy: 0.000000%
[28-05-2015 22:28:41] validation error: 0.995151817798615 accuracy: 0.000000%
[28-05-2015 22:28:43] validation error: 0.995148599147797 accuracy: 0.000000%
[28-05-2015 22:28:44] validation error: 0.995145440101624 accuracy: 0.000000%
[28-05-2015 22:28:45] validation error: 0.995142936706543 accuracy: 0.000000%
[28-05-2015 22:28:47] validation error: 0.995148360729218 accuracy: 0.000000%
[28-05-2015 22:28:48] validation error: 0.995153546333313 accuracy: 0.000000%
[28-05-2015 22:28:50] validation error: 0.995158910751343 accuracy: 0.000000%
[28-05-2015 22:28:51] validation error: 0.995159447193146 accuracy: 0.000000%
[28-05-2015 22:28:53] validation error: 0.995159447193146 accuracy: 0.000000%
[28-05-2015 22:28:54] validation error: 0.995159447193146 accuracy: 0.000000%
[28-05-2015 22:28:56] validation error: 0.995160639286041 accuracy: 0.000000%
[28-05-2015 22:28:57] validation error: 0.995162189006805 accuracy: 0.000000%
[28-05-2015 22:28:59] validation error: 0.995163679122925 accuracy: 0.000000%
[28-05-2015 22:29:00] validation error: 0.995164513587952 accuracy: 0.000000%
[28-05-2015 22:29:01] validation error: 0.995164632797241 accuracy: 0.000000%
[28-05-2015 22:29:03] validation error: 0.995164752006531 accuracy: 0.000000%
[28-05-2015 22:29:04] validation error: 0.995165050029755 accuracy: 0.000000%
[28-05-2015 22:29:06] validation error: 0.995166182518005 accuracy: 0.000000%
[28-05-2015 22:29:07] validation error: 0.995167255401611 accuracy: 0.000000%
[28-05-2015 22:29:09] validation error: 0.995168387889862 accuracy: 0.000000%
[28-05-2015 22:29:10] validation error: 0.995164453983307 accuracy: 0.000000%
[28-05-2015 22:29:12] validation error: 0.995160222053528 accuracy: 0.000000%
[28-05-2015 22:29:13] validation error: 0.995156049728394 accuracy: 0.000000%
[28-05-2015 22:29:15] validation error: 0.995149672031403 accuracy: 0.000000%
[28-05-2015 22:29:16] validation error: 0.995142281055450 accuracy: 0.000000%
[28-05-2015 22:29:18] validation error: 0.995135009288788 accuracy: 0.000000%
[28-05-2015 22:29:19] validation error: 0.995132923126221 accuracy: 0.000000%
[28-05-2015 22:29:21] validation error: 0.995140135288239 accuracy: 0.000000%
[28-05-2015 22:29:22] validation error: 0.995147526264191 accuracy: 0.000000%
[28-05-2015 22:29:24] validation error: 0.995154678821564 accuracy: 0.000000%
[28-05-2015 22:29:25] validation error: 0.995158076286316 accuracy: 0.000000%
[28-05-2015 22:29:26] validation error: 0.995161294937134 accuracy: 0.000000%
[28-05-2015 22:29:28] validation error: 0.995164573192596 accuracy: 0.000000%
[28-05-2015 22:29:29] validation error: 0.995166718959808 accuracy: 0.000000%
[28-05-2015 22:29:31] validation error: 0.995167791843414 accuracy: 0.000000%
[28-05-2015 22:29:32] validation error: 0.995168924331665 accuracy: 0.000000%
[28-05-2015 22:29:34] validation error: 0.995169997215271 accuracy: 0.000000%
[28-05-2015 22:29:35] validation error: 0.995163321495056 accuracy: 0.000000%
[28-05-2015 22:29:37] validation error: 0.995156109333038 accuracy: 0.000000%
[28-05-2015 22:29:38] validation error: 0.995148599147797 accuracy: 0.000000%
[28-05-2015 22:29:40] validation error: 0.995144844055176 accuracy: 0.000000%
[28-05-2015 22:29:41] validation error: 0.995148360729218 accuracy: 0.000000%
[28-05-2015 22:29:43] validation error: 0.995151877403259 accuracy: 0.000000%
[28-05-2015 22:29:44] validation error: 0.995155513286591 accuracy: 0.000000%
[28-05-2015 22:29:46] validation error: 0.995156288146973 accuracy: 0.000000%
[28-05-2015 22:29:47] validation error: 0.995155870914459 accuracy: 0.000000%
[28-05-2015 22:29:48] validation error: 0.995155513286591 accuracy: 0.000000%
[28-05-2015 22:29:50] validation error: 0.995155036449432 accuracy: 0.000000%
[28-05-2015 22:29:51] validation error: 0.995154261589050 accuracy: 0.000000%
[28-05-2015 22:29:52] validation error: 0.995153427124023 accuracy: 0.000000%
[28-05-2015 22:29:54] validation error: 0.995152652263641 accuracy: 0.000000%
[28-05-2015 22:29:55] validation error: 0.995151996612549 accuracy: 0.000000%
[28-05-2015 22:29:57] validation error: 0.995151877403259 accuracy: 0.000000%
